ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-04-17T20:35:00+00:00,2026-04-19T22:00:00+00:00,4842.067,4806.312,4855.433,4806.312,13.366,internal_structure_anchor,0.01,8,B,tp_hit,35.735
2,XAUUSDm,sell,2026-04-22T12:15:00+00:00,2026-04-22T13:45:00+00:00,4747.91,4760.49,4760.49,4703.435,12.58,internal_structure_anchor,0.01,9,B,sl_hit,-12.6
3,XAUUSDm,sell,2026-04-24T03:00:00+00:00,2026-04-24T04:45:00+00:00,4672.607,4669.57507,4669.57507,4650.546,14.707,internal_structure_anchor,0.01,8,B,sl_hit,3.0119
4,XAUUSDm,sell,2026-04-24T10:30:00+00:00,2026-04-24T11:00:00+00:00,4675.453,4687.627,4687.627,4644.273,12.174,internal_structure_anchor,0.01,9,B,sl_hit,-12.194
5,XAUUSDm,sell,2026-04-27T14:05:00+00:00,2026-04-27T16:50:00+00:00,4688.934,4677.43243,4677.43243,4657.574,11.801,internal_structure_anchor,0.01,8,B,sl_hit,11.4816
6,XAUUSDm,sell,2026-04-28T07:50:00+00:00,2026-04-28T09:55:00+00:00,4626.65,4606.464,4624.273,4606.464,13.457,internal_structure_anchor,0.01,8,B,tp_hit,20.166
7,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.15686,4573.15686,4554.786,10.207,internal_structure_anchor,0.02,8,B,sl_hit,12.4543
8,XAUUSDm,sell,2026-05-11T05:50:00+00:00,2026-05-11T06:15:00+00:00,4654.587,4669.222,4669.222,4540.282,14.635,internal_structure_anchor,0.01,9,B,sl_hit,-14.655
9,XAUUSDm,sell,2026-05-12T06:25:00+00:00,2026-05-12T11:45:00+00:00,4696.123,4705.331,4709.506,4671.048,13.383,internal_structure_anchor,0.01,9,B,kill_switch,-9.228
10,XAUUSDm,sell,2026-05-13T03:55:00+00:00,2026-05-13T05:05:00+00:00,4696.091,4706.668,4706.668,4669.695,10.577,internal_structure_anchor,0.01,9,B,sl_hit,-10.597
11,XAUUSDm,sell,2026-05-13T18:45:00+00:00,2026-05-13T22:15:00+00:00,4679.59,4694.708,4694.708,4582.858,15.118,internal_structure_anchor,0.01,9,B,sl_hit,-15.138
12,XAUUSDm,sell,2026-05-14T19:35:00+00:00,2026-05-14T22:05:00+00:00,4659.362,4654.51193,4654.51193,4500.541,11.634,internal_structure_anchor,0.01,9,B,sl_hit,4.8301
13,XAUUSDm,sell,2026-05-15T05:05:00+00:00,2026-05-15T07:10:00+00:00,4593.235,4578.71357,4578.71357,4540.282,14.905,internal_structure_anchor,0.01,9,B,sl_hit,14.5014
14,XAUUSDm,sell,2026-05-26T04:30:00+00:00,2026-05-26T10:05:00+00:00,4530.445,4525.24293,4525.24293,4465.693,14.132,internal_structure_anchor,0.01,8,B,sl_hit,5.1821
15,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4473.321,14.608,internal_structure_anchor,0.01,9,B,sl_hit,6.4653
16,XAUUSDm,sell,2026-05-27T10:15:00+00:00,2026-05-27T10:45:00+00:00,4479.836,4453.399,4473.0045,4453.399,14.09,internal_structure_anchor,0.01,8,B,tp_hit,26.417
17,XAUUSDm,sell,2026-05-28T04:25:00+00:00,2026-05-28T05:30:00+00:00,4368.483,4382.847,4382.847,4346.937,14.364,internal_structure_anchor,0.01,8,B,sl_hit,-14.384
