ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-04-17T20:35:00+00:00,2026-04-19T22:00:00+00:00,4842.067,4801.969,4855.433,4801.969,13.366,internal_structure_anchor,0.01,8,B,tp_hit,40.078
2,XAUUSDm,sell,2026-04-22T12:15:00+00:00,2026-04-22T13:45:00+00:00,4747.91,4760.49,4760.49,4703.435,12.58,internal_structure_anchor,0.01,9,B,sl_hit,-12.6
3,XAUUSDm,sell,2026-04-24T10:30:00+00:00,2026-04-24T11:00:00+00:00,4675.453,4687.627,4687.627,4638.931,12.174,internal_structure_anchor,0.01,9,B,sl_hit,-12.194
4,XAUUSDm,sell,2026-04-27T14:05:00+00:00,2026-04-27T16:50:00+00:00,4688.934,4677.43243,4677.43243,4653.531,11.801,internal_structure_anchor,0.01,8,B,sl_hit,11.4816
5,XAUUSDm,sell,2026-04-28T05:10:00+00:00,2026-04-28T06:05:00+00:00,4652.331,4640.23,4640.23,4607.724,14.869,internal_structure_anchor,0.01,8,B,sl_hit,12.081
6,XAUUSDm,sell,2026-04-28T09:15:00+00:00,2026-04-28T11:35:00+00:00,4622.131,4580.59,4604.46407,4580.59,13.847,internal_structure_anchor,0.01,8,B,tp_hit,41.521
7,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.15686,4573.15686,4548.783,10.207,internal_structure_anchor,0.02,8,B,sl_hit,12.4543
8,XAUUSDm,sell,2026-05-11T05:50:00+00:00,2026-05-11T06:15:00+00:00,4654.587,4669.222,4669.222,4540.282,14.635,internal_structure_anchor,0.01,9,B,sl_hit,-14.655
9,XAUUSDm,sell,2026-05-13T03:05:00+00:00,2026-05-13T03:35:00+00:00,4689.67,4704.789,4704.789,4644.313,15.119,internal_structure_anchor,0.01,8,B,sl_hit,-15.139
10,XAUUSDm,sell,2026-05-13T03:55:00+00:00,2026-05-13T05:05:00+00:00,4696.091,4706.668,4706.668,4664.36,10.577,internal_structure_anchor,0.02,9,B,sl_hit,-21.194
11,XAUUSDm,sell,2026-05-14T03:10:00+00:00,2026-05-14T04:25:00+00:00,4682.988,4695.469,4695.469,4645.545,12.481,internal_structure_anchor,0.01,9,B,sl_hit,-12.501
12,XAUUSDm,sell,2026-05-14T18:00:00+00:00,2026-05-14T22:05:00+00:00,4670.187,4654.51193,4654.51193,4629.342,13.615,internal_structure_anchor,0.01,8,B,sl_hit,15.6551
13,XAUUSDm,sell,2026-05-15T05:05:00+00:00,2026-05-15T07:10:00+00:00,4593.235,4578.71357,4578.71357,4540.282,14.905,internal_structure_anchor,0.01,9,B,sl_hit,14.5014
14,XAUUSDm,sell,2026-05-26T04:30:00+00:00,2026-05-26T10:05:00+00:00,4530.445,4525.24293,4525.24293,4465.693,14.132,internal_structure_anchor,0.01,8,B,sl_hit,5.1821
15,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4451.409,14.608,internal_structure_anchor,0.01,9,B,sl_hit,6.4653
16,XAUUSDm,sell,2026-05-27T10:15:00+00:00,2026-05-27T11:30:00+00:00,4479.836,4437.566,4458.33757,4437.566,14.09,internal_structure_anchor,0.01,8,B,tp_hit,42.25
17,XAUUSDm,sell,2026-05-27T12:10:00+00:00,2026-05-27T12:15:00+00:00,4430.252,4446.922,4446.922,4380.242,16.67,internal_structure_anchor,0.01,8,B,sl_hit,-16.69
18,XAUUSDm,sell,2026-05-28T04:25:00+00:00,2026-05-28T05:30:00+00:00,4368.483,4382.847,4382.847,4325.391,14.364,internal_structure_anchor,0.01,8,B,sl_hit,-14.384
19,XAUUSDm,sell,2026-05-28T10:45:00+00:00,2026-05-28T12:35:00+00:00,4380.933,4396.486,4396.486,4334.274,15.553,internal_structure_anchor,0.01,8,B,sl_hit,-15.573
20,XAUUSDm,sell,2026-06-01T03:10:00+00:00,2026-06-01T05:10:00+00:00,4518.686,4518.39114,4518.39114,4477.316,13.79,internal_structure_anchor,0.01,8,B,sl_hit,0.2749
21,XAUUSDm,sell,2026-06-01T06:10:00+00:00,2026-06-01T09:15:00+00:00,4514.233,4505.21921,4505.21921,4479.25,11.661,internal_structure_anchor,0.01,8,B,sl_hit,8.9938
22,XAUUSDm,sell,2026-06-03T04:25:00+00:00,2026-06-03T06:15:00+00:00,4477.21,4469.11857,4469.11857,4443.649,11.187,internal_structure_anchor,0.01,9,B,sl_hit,8.0714
23,XAUUSDm,sell,2026-06-03T06:50:00+00:00,2026-06-03T07:10:00+00:00,4458.453,4471.722,4471.722,4366.232,13.269,internal_structure_anchor,0.01,8,B,sl_hit,-13.289
24,XAUUSDm,sell,2026-06-03T07:30:00+00:00,2026-06-03T09:05:00+00:00,4461.387,4456.59257,4456.59257,4366.232,11.667,internal_structure_anchor,0.01,8,B,sl_hit,4.7744
25,XAUUSDm,sell,2026-06-03T09:30:00+00:00,2026-06-03T10:05:00+00:00,4441.763,4457.227,4457.227,4366.232,15.464,internal_structure_anchor,0.01,8,B,sl_hit,-15.484
