ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:40:00+00:00,2026-03-12T20:45:00+00:00,5110.713,5074.212,5074.212,4995.774,19.461,internal_structure_anchor,0.01,8,B,sl_hit,36.501
2,XAUUSDm,sell,2026-03-13T06:10:00+00:00,2026-03-13T07:10:00+00:00,5104.03,5093.563,5093.563,4995.774,10.038,internal_structure_anchor+sl_floor(10.038),0.02,8,B,sl_hit,20.934
3,XAUUSDm,sell,2026-03-13T07:40:00+00:00,2026-03-13T08:30:00+00:00,5089.241,5074.93,5074.93,4995.774,13.52,internal_structure_anchor+sl_floor(13.520),0.01,8,B,sl_hit,14.311
4,XAUUSDm,sell,2026-03-13T19:45:00+00:00,2026-03-15T22:05:00+00:00,5015.585,5028.282,5028.282,4977.494,12.697,internal_structure_anchor+sl_floor(12.697),0.01,8,B,sl_hit,-12.697
5,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T10:45:00+00:00,4988.75,4992.799,4992.799,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,-4.049
6,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-16T16:50:00+00:00,5011.002,4990.884,4990.884,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,20.118
7,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
8,XAUUSDm,sell,2026-03-19T06:10:00+00:00,2026-03-19T06:45:00+00:00,4833.1,4778.075,4778.075,4776.277,18.941,internal_structure_anchor,0.01,8,B,sl_hit,55.025
9,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T06:35:00+00:00,4712.459,4682.679,4682.679,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,29.78
10,XAUUSDm,sell,2026-03-20T09:40:00+00:00,2026-03-20T11:20:00+00:00,4673.564,4666.7455,4666.7455,4502.509,19.879,internal_structure_anchor+sl_floor(19.879),0.01,8,B,sl_hit,6.8185
11,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:30:00+00:00,4511.76,4493.078,4493.078,4472.499,13.087,internal_structure_anchor,0.01,8,B,sl_hit,18.682
12,XAUUSDm,sell,2026-03-26T05:30:00+00:00,2026-03-26T05:45:00+00:00,4493.593,4480.316,4480.316,4456.548,12.348,internal_structure_anchor+sl_floor(12.348),0.01,9,B,sl_hit,13.277
13,XAUUSDm,sell,2026-03-26T19:50:00+00:00,2026-03-26T20:10:00+00:00,4364.419,4379.891,4379.891,4318.003,15.472,internal_structure_anchor+sl_floor(15.472),0.01,9,B,sl_hit,-15.472
14,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T11:00:00+00:00,4724.298,4724.8355,4724.8355,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.02,11,A+,sl_hit,-1.075
