ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:40:00+00:00,2026-03-12T22:20:00+00:00,5110.713,5093.673,5093.673,4995.774,19.461,internal_structure_anchor,0.01,8,B,sl_hit,17.04
2,XAUUSDm,sell,2026-03-13T06:10:00+00:00,2026-03-13T07:35:00+00:00,5104.03,5091.848,5091.848,4995.774,10.038,internal_structure_anchor+sl_floor(10.038),0.02,8,B,sl_hit,24.364
3,XAUUSDm,sell,2026-03-13T07:40:00+00:00,2026-03-13T09:00:00+00:00,5089.241,5088.45,5088.45,4995.774,13.52,internal_structure_anchor+sl_floor(13.520),0.01,8,B,sl_hit,0.791
4,XAUUSDm,sell,2026-03-13T19:45:00+00:00,2026-03-15T22:05:00+00:00,5015.585,5028.282,5028.282,4977.494,12.697,internal_structure_anchor+sl_floor(12.697),0.01,8,B,sl_hit,-12.697
5,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T11:00:00+00:00,4988.75,5000.395,5000.395,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,-11.645
6,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-16T18:25:00+00:00,5011.002,5007.883,5007.883,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,3.119
7,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
8,XAUUSDm,sell,2026-03-19T06:10:00+00:00,2026-03-19T06:45:00+00:00,4833.1,4776.277,4797.016,4776.277,18.941,internal_structure_anchor,0.01,8,B,tp_hit,56.823
9,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T07:35:00+00:00,4712.459,4691.844,4691.844,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,20.615
10,XAUUSDm,sell,2026-03-20T09:40:00+00:00,2026-03-20T12:00:00+00:00,4673.564,4676.685,4676.685,4502.509,19.879,internal_structure_anchor+sl_floor(19.879),0.01,8,B,sl_hit,-3.121
11,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:45:00+00:00,4511.76,4472.499,4494.142,4472.499,13.087,internal_structure_anchor,0.01,8,B,tp_hit,39.261
12,XAUUSDm,sell,2026-03-26T19:50:00+00:00,2026-03-26T20:10:00+00:00,4364.419,4379.891,4379.891,4318.003,15.472,internal_structure_anchor+sl_floor(15.472),0.01,9,B,sl_hit,-15.472
13,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T13:00:00+00:00,4724.298,4725.672,4725.672,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.02,11,A+,sl_hit,-2.748
